seqnames	start	end	width	strand	gene_id	name	hid	p	fdr	count	effectsize	count.pred	count.density	count.pred.density	eligible	p.neg	fdr.neg
chrX	12975110	12977227	2118	+	7114	TMSB4X	4902	1.8e-40	4.9e-36	75	7.21	0.507	0.556	0.00376	135	1	1
chr6	37170152	37175428	5277	+	5292	PIM1	3536	6.1e-39	8.3e-35	155	6.61	1.59	0.165	0.00168	942	1	1
chr3	38138478	38143022	4545	+	4615	MYD88	3042	5.4e-32	4.9e-28	154	6.25	2.02	0.0936	0.00123	1646	1	1
chr1	203305491	203309602	4112	+	7832	BTG2	5315	1.0999999999999999e-25	7.400000000000001e-22	112	5.97	1.79	0.235	0.00375	477	1	1
chr15	44711487	44718877	7391	+	567	B2M	391	1.8e-25	8.100000000000001e-22	89	6.04	1.35	0.0848	0.00129	1050	1	1
chr6	26156354	26157107	754	+	3008	H1-4	2051	1.8e-25	8.100000000000001e-22	91	6.04	1.39	0.138	0.0021	660	1	1
chr6	29941260	29945884	4625	+	3105	HLA-A	2123	1.2e-21	4.6e-18	79	5.78	1.44	0.0617	0.00112	1280	1	1
chr1	2555639	2565382	9744	+	8764	TNFRSF14	5806	3.2e-21	1.1e-17	76	5.75	1.41	0.0792	0.00147	959	1	1
chr16	11254405	11256179	1775	-	8651	SOCS1	5721	1.6e-19	4.8e-16	75	5.62	1.53	0.118	0.00241	636	1	1
chr6	26055787	26056428	642	-	3006	H1-2	2049	1.3e-18	3.5e-15	58	5.64	1.17	0.0903	0.00182	642	1	1
chr1	2549920	2557031	7112	-	115110	TNFRSF14-AS1	14777	9.8e-18	2.4e-14	15	7.21	0.102	0.217	0.00147	69	1	1
chr17	59837931	59842255	4325	+	406991	MIR21	19724	1.7e-17	3.8e-14	39	5.78	0.709	0.158	0.00287	247	1	1
chr1	116514534	116571039	56506	-	965	CD58	691	3.2e-16	6.7e-13	60	5.34	1.48	0.051	0.00126	1177	1	1
chr1	85265776	85276632	10857	-	8915	BCL10	5931	1.3e-15	2.5e-12	56	5.3	1.42	0.0442	0.00112	1268	1	1
chr17	7661779	7687550	25772	-	7157	TP53	4931	2.8e-15	5.1e-12	132	4.99	4.14	0.0453	0.00142	2913	1	1
chr10	88990531	89017059	26529	+	355	FAS	255	3.8e-15	6.2e-12	49	5.29	1.25	0.0405	0.00103	1210	1	1
chr6	27866849	27867529	681	-	3009	H1-5	2052	3.9e-15	6.2e-12	49	5.29	1.25	0.072	0.00184	681	1	1
chr12	92140278	92145846	5569	-	694	BTG1	487	8.8e-15	1.3e-11	87	5.04	2.64	0.113	0.00343	769	1	1
chr6	27146418	27146798	381	-	85236	H2BC12	14054	1.8e-14	2.6e-11	23	5.81	0.409	0.0604	0.00107	381	1	1
chr6	31269491	31357188	87698	-	3106	HLA-B	2124	3.7e-14	5e-11	122	4.88	4.14	0.0345	0.00117	3538	1	1
chr6	26123356	26123926	571	-	8347	H2BC4	5491	7.1e-12	9.2e-9	28	5.13	0.802	0.0735	0.00211	381	1	1
chr2	96143169	96145440	2272	-	1844	DUSP2	1306	1.1e-11	1.4e-8	69	4.67	2.71	0.073	0.00287	945	1	1
chr6	75252924	75284948	32025	-	55754	TMEM30A	11078	2.2e-11	2.6e-8	36	4.9	1.21	0.0292	9.82e-4	1231	1	1
chr18	63123346	63320128	196783	-	596	BCL2	412	5.5e-11	6.2e-8	57	4.63	2.3	0.0426	0.00172	1338	1	1
chr6	41934933	42050357	115425	-	896	CCND3	633	1.6e-10	1.7e-7	65	4.51	2.86	0.0341	0.0015	1906	1	1
chr6	27892757	27893149	393	-	8336	H2AC17	5481	4.4e-10	4.6e-7	36	4.65	1.44	0.0916	0.00365	393	1	1
chr19	6583183	6604103	20921	-	970	CD70	696	1.3e-9	1.3e-6	49	4.42	2.29	0.0484	0.00226	1013	1	1
chr12	11649854	11895402	245549	+	2120	ETV6	1487	1.7e-9	1.6e-6	44	4.44	2.03	0.0273	0.00126	1612	1	1
chr3	177019340	177228000	208661	-	79718	TBL1XR1	12739	2e-9	1.9e-6	70	4.3	3.56	0.021	0.00107	3339	1	1
chr17	63928740	63932354	3615	-	974	CD79B	700	2.8e-9	2.5e-6	71	4.27	3.69	0.0866	0.0045	820	1	1
chr12	25205246	25250936	45691	-	3845	KRAS	2613	3e-8	2.6e-5	23	4.4	1.09	0.0296	0.0014	777	1	1
chr15	44715817	44718145	2329	+	113218500	MIR10393	27047	3.8e-8	3.2e-5	4	7.8	0.018	0.286	0.00129	14	1	1
chr7	148807383	148884321	76939	-	2146	EZH2	1504	4.4e-8	3.5e-5	51	4.1	2.96	0.0187	0.00109	2732	1	1
chr6	31580525	31582522	1998	-	4050	LTB	2747	4.4e-8	3.5e-5	30	4.28	1.55	0.0408	0.00211	735	1	1
chr19	16324817	16327874	3058	+	10365	KLF2	7061	1.2e-7	9.3e-5	46	4.02	2.83	0.0374	0.0023	1230	1	1
chr6	391752	411443	19692	+	3662	IRF4	2464	1.5e-7	1.1e-4	51	3.95	3.3	0.037	0.00239	1377	1	1
chr6	31268749	31272130	3382	-	3107	HLA-C	2125	2e-7	1.5e-4	36	4.04	2.19	0.0202	0.00123	1779	1	1
chr6	1609915	1613897	3983	+	2296	FOXC1	1616	2.2e-7	1.6e-4	32	4.04	1.95	0.0193	0.00117	1662	1	1
chr1	37474580	37484377	9798	+	80149	ZC3H12A	13017	3.4e-7	2.3e-4	37	3.95	2.39	0.0166	0.00107	2229	1	1
chr11	59208510	59212927	4418	-	219972	MPEG1	17042	3.4e-7	2.3e-4	59	3.85	4.1	0.0274	0.00191	2151	1	1
chr10	87863625	87971930	108306	+	5728	PTEN	3875	3.5e-7	2.3e-4	25	4.09	1.47	0.0166	9.73e-4	1507	1	1
chr6	158817979	158822252	4274	+	101409257	EZR-AS1	24365	3.9e-7	2.5e-4	4	6.73	0.0377	0.333	0.00314	12	1	1
chr3	31657890	32077580	419691	-	114884	OSBPL10	14751	5e-7	3.1e-4	97	3.74	7.27	0.0206	0.00154	4713	1	1
chr17	59707648	59842255	134608	+	81671	VMP1	13291	5.2e-7	3.2e-4	44	3.87	3	0.0259	0.00177	1696	1	1
